Sector;Dataset;SplitYear;ACC__global_on_sector_test;ACC__sector_only;AUC__global_on_sector_test;AUC__sector_only;BS__global_on_sector_test;BS__sector_only;CV_ACC_Mean__global_on_sector_test;CV_ACC_Mean__sector_only;CV_AUC_Mean__global_on_sector_test;CV_AUC_Mean__sector_only;KS__global_on_sector_test;KS__sector_only;Delta_AUC_global_minus_sector;Delta_ACC_global_minus_sector;Delta_KS_global_minus_sector;Delta_BS_global_minus_sector
Consumer Cyclicals;dataset23;2015;0.5225563909774437;0.5451127819548872;0.5420058796924468;0.5682948891904116;0.28578296303749084;0.3045116364955902;0.5387029827025118;0.5187047232686177;0.5575391065181486;0.531451536157076;0.11635006784260515;0.1523066485753053;-0.026289009497964755;-0.022556390977443552;-0.03595658073270014;-0.018728673458099365
Consumer Cyclicals;dataset31;2015;0.850828729281768;0.848987108655617;0.9274957262638048;0.9289338724120153;0.11299782991409302;0.11825580149888992;0.8767469869818292;0.8721713374344953;0.9451688920326236;0.9431449502878074;0.710661275879847;0.7140395625864923;-0.001438146148210473;0.0018416206261510082;-0.003378286706645306;-0.0052579715847969055
Consumer Cyclicals;dataset32;2015;0.5647058823529412;0.5929411764705882;0.6428123038292529;0.6292260783786208;0.2572610378265381;0.29970720410346985;0.6501016654862808;0.6274754575203005;0.7084736047097998;0.6837292891346947;0.22885839834992383;0.23753475024661463;0.01358622545063215;-0.028235294117647025;-0.008676351896690804;-0.04244616627693176
Consumer Cyclicals;dataset33;2015;0.6156351791530945;0.5895765472312704;0.6271862795041603;0.6429359823399559;0.2584078013896942;0.2834319472312927;0.6004708891164132;0.5812499999999999;0.6440295599950734;0.6143016581632654;0.24150959415860074;0.228307013075225;-0.015749702835795576;0.026058631921824116;0.013202581083375742;-0.02502414584159851
Consumer Cyclicals;dataset41;2015;0.861878453038674;0.7587476979742173;0.9465317919075145;0.9515494540783559;0.11918405443429947;0.1889968365430832;0.9472222222222222;0.9303030303030303;0.9655864197530863;0.9527777777777778;0.8304431599229287;0.8285163776493256;-0.00501766217084143;0.10313075506445679;0.0019267822736031004;-0.06981278210878372
Consumer Cyclicals;dataset42;2015;0.7105882352941176;0.7176470588235294;0.7646699266503667;0.7111858190709046;0.22050583362579346;0.22399765253067017;0.8002351097178682;0.7492647058823529;0.8456491447241976;0.8149305555555555;0.4783007334963325;0.48456601466992666;0.05348410757946209;-0.007058823529411784;-0.0062652811735941505;-0.003491818904876709
Consumer Cyclicals;dataset43;2015;0.7100977198697068;0.6840390879478827;0.7035592393954169;0.6845441248171624;0.2389685958623886;0.24988093972206116;0.7622222222222222;0.6801470588235293;0.8399012345679013;0.7267361111111111;0.33568990736226234;0.3188688444661141;0.019015114578254444;0.026058631921824116;0.016821062896148264;-0.010912343859672546
Consumer Non-Cyclicals;dataset11;2015;0.9263351749539595;0.9300184162062615;0.9706857441982203;0.9580352469028093;0.06486210972070694;0.05787593871355057;0.9298873101420873;0.9284615384615386;0.9610590966968766;0.9821842105263159;0.9174664107485605;0.90978886756238;0.012650497295411012;-0.0036832412523020164;0.007677543186180524;0.006986171007156372
Consumer Non-Cyclicals;dataset12;2015;0.7832167832167832;0.8181818181818182;0.8772946859903382;0.8555555555555555;0.16710694134235382;0.13345655798912048;0.8114942528735632;0.8221835075493612;0.884502576298058;0.9176190476190476;0.6628019323671498;0.7256038647342995;0.021739130434782705;-0.034965034965035;-0.0628019323671497;0.03365038335323334
Consumer Non-Cyclicals;dataset13;2015;0.7555555555555555;0.8158730158730159;0.8025302530253026;0.7585258525852585;0.1864430010318756;0.13739483058452606;0.7662921348314606;0.7634278002699055;0.8275217775533392;0.8386703601108032;0.5173267326732673;0.5742574257425743;0.044004400440044056;-0.060317460317460325;-0.05693069306930698;0.04904817044734955
Consumer Non-Cyclicals;dataset21;2015;0.8314087759815243;0.8475750577367206;0.9252458875574453;0.9220890778679725;0.1127387136220932;0.1191377192735672;0.8646601941747573;0.8492078141824335;0.9363121877651052;0.9218876041386863;0.6993944079371215;0.7077481424215092;0.0031568096894728503;-0.0161662817551963;-0.008353734484387698;-0.006399005651473999
Consumer Non-Cyclicals;dataset22;2015;0.48695652173913045;0.5130434782608696;0.47151515151515144;0.4955555555555556;0.30882275104522705;0.3749313950538635;0.574421115317821;0.5851485148514852;0.6012027278053443;0.6138417802176257;0.03737373737373739;0.06818181818181819;-0.02404040404040414;-0.026086956521739146;-0.0308080808080808;-0.06610864400863647
Consumer Non-Cyclicals;dataset23;2015;0.5077519379844961;0.5581395348837209;0.5124120935264771;0.5403017370920238;0.2884540557861328;0.3135558068752289;0.5387029827025118;0.4825242718446602;0.5575391065181486;0.4852295221038741;0.07898058544208686;0.14185249744545292;-0.027889643565546685;-0.050387596899224785;-0.06287191200336606;-0.02510175108909607
Consumer Non-Cyclicals;dataset31;2015;0.8802946593001841;0.860036832412523;0.9446192143560564;0.935236349710034;0.09415208548307419;0.10886313021183014;0.8767469869818292;0.8450450450450451;0.9451688920326236;0.9226523821118416;0.7798446219498851;0.7406444906444907;0.009382864646022449;0.02025782688766109;0.03920013130539446;-0.014711044728755951
Consumer Non-Cyclicals;dataset32;2015;0.578088578088578;0.5594405594405595;0.6475251527128997;0.6036201940352137;0.25772222876548767;0.3235276937484741;0.6501016654862808;0.6558118865445552;0.7084736047097998;0.7185921059441026;0.28631422924901184;0.24530632411067188;0.04390495867768596;0.01864801864801857;0.04100790513833996;-0.06580546498298645
Consumer Non-Cyclicals;dataset33;2015;0.5841269841269842;0.5555555555555556;0.6166530612244897;0.6054693877551021;0.25848188996315;0.3072572350502014;0.6004708891164132;0.5832184172220946;0.6440295599950734;0.635362586481459;0.2342857142857142;0.18714285714285717;0.011183673469387645;0.02857142857142858;0.04714285714285704;-0.04877534508705139
Consumer Non-Cyclicals;dataset41;2015;0.9097605893186004;0.9189686924493554;0.9425717852684146;0.949438202247191;0.08303888142108917;0.06827709823846817;0.9472222222222222;0.9057142857142857;0.9655864197530863;0.9571428571428571;0.8726591760299626;0.8838951310861423;-0.006866416978776435;-0.009208103130755041;-0.011235955056179692;0.014761783182621002
