ModelxMeasure;TP;TN;FP;FN;TError_I;TError_II;ACC;SENS;SPEC;BS;AUC;KS;CV_ACC_Mean;CV_AUC_Mean;Sector;Dataset;ModelScope;SplitYear;TrainRows;TestRows;TrainRowsUsed;TestRowsScored
XGB;12.0;266.0;113.0;2.0;29.82;14.29;0.7073791348600509;0.8571428571428571;0.7018469656992085;0.21976938843727112;0.8637391632114587;0.6145872597059933;0.8002351097178682;0.8456491447241976;Basic Materials;dataset42;global_on_sector_test;2015;7080;393;436;393
XGB;5.0;191.0;84.0;10.0;30.55;66.67;0.6758620689655173;0.3333333333333333;0.6945454545454546;0.23538713157176971;0.6523636363636363;0.3842424242424243;0.6782608695652174;0.7542929292929292;Basic Materials;dataset13;sector_only;2015;1303;290;118;290
XGB;8.0;202.0;73.0;7.0;26.55;46.67;0.7241379310344828;0.5333333333333333;0.7345454545454545;0.22786475718021393;0.7386666666666667;0.3915151515151515;0.7662921348314606;0.8275217775533392;Basic Materials;dataset13;global_on_sector_test;2015;7054;290;890;290
XGB;65.0;72.0;60.0;76.0;45.45;53.9;0.5018315018315018;0.46099290780141844;0.5454545454545454;0.3421720862388611;0.481785944551902;0.026112185686653855;0.5291905354919053;0.5604926832966866;Basic Materials;dataset23;sector_only;2015;1163;273;1096;273
XGB;72.0;72.0;60.0;69.0;45.45;48.94;0.5274725274725275;0.5106382978723404;0.5454545454545454;0.2866705060005188;0.5368579411132604;0.10186976144422955;0.5387029827025118;0.5575391065181486;Basic Materials;dataset23;global_on_sector_test;2015;5903;273;5452;273
XGB;84.0;79.0;67.0;62.0;45.89;42.47;0.5582191780821918;0.5753424657534246;0.541095890410959;0.3172684907913208;0.5622537061362356;0.14383561643835613;0.583472447638921;0.6151424400155799;Basic Materials;dataset33;sector_only;2015;1304;292;1138;292
XGB;88.0;66.0;80.0;58.0;54.79;39.73;0.5273972602739726;0.6027397260273972;0.4520547945205479;0.29152753949165344;0.5279602176768624;0.0821917808219178;0.6004708891164132;0.6440295599950734;Basic Materials;dataset33;global_on_sector_test;2015;7065;292;5892;292
XGB;8.0;159.0;123.0;2.0;43.62;20.0;0.571917808219178;0.8;0.5638297872340425;0.35295647382736206;0.6879432624113475;0.4553191489361702;0.5791666666666666;0.6741071428571429;Basic Materials;dataset43;sector_only;2015;1304;292;76;292
XGB;5.0;196.0;86.0;5.0;30.5;50.0;0.6883561643835616;0.5;0.6950354609929078;0.24841026961803436;0.7202127659574469;0.4957446808510639;0.7622222222222222;0.8399012345679013;Basic Materials;dataset43;global_on_sector_test;2015;7065;292;450;292
XGB;42.0;432.0;68.0;1.0;13.6;2.33;0.8729281767955801;0.9767441860465116;0.864;0.10896068811416626;0.9568837209302326;0.86;0.9266666666666665;0.9520000000000002;Consumer Cyclicals;dataset11;sector_only;2015;1320;543;150;543
XGB;42.0;438.0;62.0;1.0;12.4;2.33;0.8839779005524862;0.9767441860465116;0.876;0.09964685887098312;0.9582790697674417;0.864;0.9298873101420873;0.9610590966968766;Consumer Cyclicals;dataset11;global_on_sector_test;2015;7086;543;784;543
XGB;220.0;164.0;40.0;30.0;19.61;12.0;0.8458149779735683;0.88;0.803921568627451;0.12888750433921814;0.9013921568627452;0.6888235294117647;0.8451516143106458;0.9224504294590643;Consumer Cyclicals;dataset21;sector_only;2015;1033;454;956;454
XGB;217.0;162.0;42.0;33.0;20.59;13.2;0.8348017621145375;0.868;0.7941176470588235;0.12203741818666458;0.9084901960784314;0.6972156862745098;0.8646601941747573;0.9363121877651052;Consumer Cyclicals;dataset21;global_on_sector_test;2015;5531;454;5150;454
XGB;242.0;219.0;55.0;27.0;20.07;10.04;0.848987108655617;0.8996282527881041;0.7992700729927007;0.11825580149888992;0.9289338724120153;0.7140395625864923;0.8721713374344953;0.9431449502878074;Consumer Cyclicals;dataset31;sector_only;2015;1320;543;1048;543
XGB;241.0;221.0;53.0;28.0;19.34;10.41;0.850828729281768;0.895910780669145;0.8065693430656934;0.11299782991409302;0.9274957262638048;0.710661275879847;0.8767469869818292;0.9451688920326236;Consumer Cyclicals;dataset31;global_on_sector_test;2015;7094;543;5574;543
XGB;24.0;388.0;131.0;0.0;25.24;0.0;0.7587476979742173;1.0;0.7475915221579962;0.1889968365430832;0.9515494540783559;0.8285163776493256;0.9303030303030303;0.9527777777777778;Consumer Cyclicals;dataset41;sector_only;2015;1320;543;58;543
XGB;22.0;446.0;73.0;2.0;14.07;8.33;0.861878453038674;0.9166666666666666;0.859344894026975;0.11918405443429947;0.9465317919075145;0.8304431599229287;0.9472222222222222;0.9655864197530863;Consumer Cyclicals;dataset41;global_on_sector_test;2015;7094;543;360;543
XGB;28.0;272.0;114.0;11.0;29.53;28.21;0.7058823529411765;0.717948717948718;0.7046632124352331;0.22776475548744202;0.7968646206988176;0.4759532350205925;0.7588235294117647;0.8471357170319107;Consumer Cyclicals;dataset12;sector_only;2015;1318;425;174;425
XGB;32.0;284.0;102.0;7.0;26.42;17.95;0.7435294117647059;0.8205128205128205;0.7357512953367875;0.21804723143577576;0.8425003321376379;0.5635047163544573;0.8114942528735632;0.884502576298058;Consumer Cyclicals;dataset12;global_on_sector_test;2015;7069;425;870;425
XGB;89.0;94.0;98.0;77.0;51.04;46.39;0.5111731843575419;0.536144578313253;0.4895833333333333;0.34628164768218994;0.5128639558232931;0.048945783132530174;0.5468627450980392;0.5670238855108005;Consumer Cyclicals;dataset22;sector_only;2015;1062;358;1024;358
XGB;111.0;85.0;107.0;55.0;55.73;33.13;0.547486033519553;0.6686746987951807;0.4427083333333333;0.2914964556694031;0.5357053212851406;0.13221636546184734;0.574421115317821;0.6012027278053443;Consumer Cyclicals;dataset22;global_on_sector_test;2015;5731;358;5482;358
XGB;138.0;114.0;122.0;51.0;51.69;26.98;0.5929411764705882;0.7301587301587301;0.4830508474576271;0.29970720410346985;0.6292260783786208;0.23753475024661463;0.6274754575203005;0.6837292891346947;Consumer Cyclicals;dataset32;sector_only;2015;1318;425;1114;425
XGB;131.0;109.0;127.0;58.0;53.81;30.69;0.5647058823529412;0.6931216931216931;0.461864406779661;0.2572610378265381;0.6428123038292529;0.22885839834992383;0.6501016654862808;0.7084736047097998;Consumer Cyclicals;dataset32;global_on_sector_test;2015;7080;425;5916;425
XGB;11.0;294.0;115.0;5.0;28.12;31.25;0.7176470588235294;0.6875;0.7188264058679706;0.22399765253067017;0.7111858190709046;0.48456601466992666;0.7492647058823529;0.8149305555555555;Consumer Cyclicals;dataset42;sector_only;2015;1318;425;84;425
XGB;11.0;291.0;118.0;5.0;28.85;31.25;0.7105882352941176;0.6875;0.7114914425427873;0.22050583362579346;0.7646699266503667;0.4783007334963325;0.8002351097178682;0.8456491447241976;Consumer Cyclicals;dataset42;global_on_sector_test;2015;7080;425;436;425
XGB;20.0;195.0;81.0;11.0;29.35;35.48;0.7003257328990228;0.6451612903225806;0.7065217391304348;0.2198997288942337;0.7544413277232351;0.4154978962131837;0.7660028449502134;0.8094490612496152;Consumer Cyclicals;dataset13;sector_only;2015;1314;307;188;307
XGB;24.0;201.0;75.0;7.0;27.17;22.58;0.7328990228013029;0.7741935483870968;0.7282608695652174;0.20512238144874573;0.8257363253856943;0.5531790556334736;0.7662921348314606;0.8275217775533392;Consumer Cyclicals;dataset13;global_on_sector_test;2015;7054;307;890;307
XGB;74.0;71.0;61.0;60.0;46.21;44.78;0.5451127819548872;0.5522388059701493;0.5378787878787878;0.3045116364955902;0.5682948891904116;0.1523066485753053;0.5187047232686177;0.531451536157076;Consumer Cyclicals;dataset23;sector_only;2015;1093;266;1016;266
XGB;72.0;67.0;65.0;62.0;49.24;46.27;0.5225563909774437;0.5373134328358209;0.5075757575757576;0.28578296303749084;0.5420058796924468;0.11635006784260515;0.5387029827025118;0.5575391065181486;Consumer Cyclicals;dataset23;global_on_sector_test;2015;5903;266;5452;266
XGB;95.0;86.0;70.0;56.0;44.87;37.09;0.5895765472312704;0.6291390728476821;0.5512820512820513;0.2834319472312927;0.6429359823399559;0.228307013075225;0.5812499999999999;0.6143016581632654;Consumer Cyclicals;dataset33;sector_only;2015;1314;307;1120;307
XGB;110.0;79.0;77.0;41.0;49.36;27.15;0.6156351791530945;0.7284768211920529;0.5064102564102564;0.2584078013896942;0.6271862795041603;0.24150959415860074;0.6004708891164132;0.6440295599950734;Consumer Cyclicals;dataset33;global_on_sector_test;2015;7065;307;5892;307
XGB;8.0;202.0;91.0;6.0;31.06;42.86;0.6840390879478827;0.5714285714285714;0.689419795221843;0.24988093972206116;0.6845441248171624;0.3188688444661141;0.6801470588235293;0.7267361111111111;Consumer Cyclicals;dataset43;sector_only;2015;1314;307;84;307
XGB;7.0;211.0;82.0;7.0;27.99;50.0;0.7100977198697068;0.5;0.7201365187713311;0.2389685958623886;0.7035592393954169;0.33568990736226234;0.7622222222222222;0.8399012345679013;Consumer Cyclicals;dataset43;global_on_sector_test;2015;7065;307;450;307
XGB;17.0;488.0;33.0;5.0;6.33;22.73;0.9300184162062615;0.7727272727272727;0.9366602687140115;0.05787593871355057;0.9580352469028093;0.90978886756238;0.9284615384615386;0.9821842105263159;Consumer Non-Cyclicals;dataset11;sector_only;2015;1461;543;196;543
